id,titulo,zona,precio,m2,habitaciones,banos,tipo,estado,extras,descripcion,disponibilidad,enlace
1,"Ático moderno con terraza en Salamanca","Salamanca",1180000,185,4,3,"ático","reformado","terraza|garaje|ascensor|trastero","Ático exclusivo reformado recientemente con gran terraza y vistas despejadas. Muy luminoso durante todo el día, ideal para familias que buscan amplitud y tranquilidad en una de las mejores zonas de Madrid. Excelente conexión transporte y cerca de colegios internacionales y zonas comerciales.","disponible","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688"
2,"Piso acogedor junto a metro Bilbao","Chamberí",465000,78,2,1,"piso","buen estado","ascensor|balcón","Piso exterior ideal para parejas jóvenes y profesionales. Cuenta con balcón, salón luminoso y espacios funcionales para teletrabajo. Muy bien ubicado cerca de metro Bilbao y con buena conexión transporte.","disponible","https://images.unsplash.com/photo-1494526585095-c41746248156"
3,"Estudio reformado en Lavapiés centro","Lavapiés",245000,42,1,1,"estudio","reformado","ascensor","Estudio moderno reformado recientemente, perfecto como buena inversión para alquiler turístico o larga estancia. Espacio optimizado, cerca de metro y rodeado de restaurantes, comercios y ambiente cultural.","reservado","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85"
4,"Chalet familiar con jardín en Moncloa","Moncloa",995000,240,5,4,"chalet","buen estado","jardín|garaje|trastero","Amplio chalet independiente en zona tranquila de Moncloa, ideal para familias numerosas. Dispone de jardín privado, varias estancias para teletrabajo y excelente acceso a colegios y transporte público.","disponible","https://images.unsplash.com/photo-1568605114967-8130f3a36994"
5,"Dúplex luminoso en Malasaña","Malasaña",620000,110,3,2,"dúplex","reformado","balcón|ascensor","Dúplex con diseño moderno y espacios abiertos, ideal para parejas jóvenes que buscan vivir en una zona céntrica y dinámica. Muy luminoso, reformado recientemente y cerca de metro Tribunal.","disponible","https://images.unsplash.com/photo-1484154218962-a197022b5858"
6,"Piso amplio cerca del Retiro","Retiro",875000,145,4,2,"piso","buen estado","garaje|ascensor|trastero","Vivienda amplia y elegante a pocos minutos del parque del Retiro. Ideal para familias gracias a sus cuatro dormitorios y proximidad a colegios. Zona tranquila con buena conexión transporte.","disponible","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85"
7,"Estudio económico en Vallecas","Vallecas",180000,35,1,1,"estudio","buen estado","ascensor","Estudio funcional y económico ideal como primera vivienda o buena inversión. Cerca de metro y supermercados, con buena conexión transporte y espacios cómodos para teletrabajo.","disponible","https://images.unsplash.com/photo-1493809842364-78817add7ffb"
8,"Ático premium con piscina en Chamartín","Chamartín",1200000,210,5,4,"ático","nuevo","terraza|piscina|garaje|ascensor","Ático de lujo con piscina privada y amplia terraza panorámica. Ideal para familias que buscan exclusividad, privacidad y cercanía a colegios internacionales y zonas financieras.","disponible","https://images.unsplash.com/photo-1512917774080-9991f1c4c750"
9,"Piso reformado en Chamberí","Chamberí",540000,92,3,2,"piso","reformado","ascensor|balcón","Piso reformado recientemente con acabados modernos y excelente distribución. Muy luminoso y perfecto para teletrabajo gracias a sus espacios independientes. Cerca de metro y restaurantes.","disponible","https://images.unsplash.com/photo-1460317442991-0ec209397118"
10,"Chalet con piscina en Salamanca","Salamanca",1150000,260,5,4,"chalet","reformado","piscina|garaje|jardín","Chalet exclusivo en una zona residencial tranquila de Salamanca. Dispone de piscina privada y jardín, ideal para familias que buscan privacidad, amplitud y buena conexión transporte.","reservado","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c"
11,"Piso moderno para inversión en Lavapiés","Lavapiés",320000,58,2,1,"piso","reformado","balcón","Piso moderno y rentable en una de las zonas con más demanda de alquiler. Buena inversión para inversores, muy cerca de metro y rodeado de ocio, cultura y servicios.","disponible","https://images.unsplash.com/photo-1502672023488-70e25813eb80"
12,"Dúplex tranquilo en Moncloa","Moncloa",710000,128,3,3,"dúplex","buen estado","terraza|garaje","Dúplex espacioso en zona tranquila, ideal para familias y profesionales que trabajan desde casa. Cuenta con terraza privada y excelente acceso a universidades y transporte público.","disponible","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85"
13,"Piso familiar junto al Retiro","Retiro",790000,132,4,2,"piso","reformado","ascensor|trastero","Amplio piso reformado recientemente a pocos minutos del parque. Ideal para familias gracias a su cercanía a colegios y zonas verdes. Muy luminoso y con buena conexión transporte.","disponible","https://images.unsplash.com/photo-1494526585095-c41746248156"
14,"Ático bohemio en Malasaña","Malasaña",680000,95,2,2,"ático","reformado","terraza|ascensor","Ático con encanto y terraza privada en pleno Malasaña. Ideal para parejas jóvenes y creativos que buscan una vivienda singular, muy luminosa y cerca de metro.","disponible","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85"
15,"Estudio funcional en Chamartín","Chamartín",295000,40,1,1,"estudio","nuevo","garaje|ascensor","Estudio moderno ideal para ejecutivos y teletrabajo. Excelente ubicación en Chamartín con buena conexión transporte y cercanía a oficinas y zonas comerciales.","disponible","https://images.unsplash.com/photo-1484154218962-a197022b5858"
16,"Piso económico reformado en Vallecas","Vallecas",225000,60,2,1,"piso","reformado","balcón","Piso reformado recientemente con excelente relación calidad-precio. Ideal para parejas jóvenes o inversión en alquiler. Cerca de metro y servicios esenciales.","disponible","https://images.unsplash.com/photo-1460317442991-0ec209397118"
17,"Chalet independiente en Moncloa","Moncloa",1080000,280,6,4,"chalet","nuevo","jardín|garaje|piscina","Chalet de obra nueva con amplios jardines y piscina privada. Ideal para familias grandes que buscan tranquilidad, privacidad y cercanía a colegios y universidades.","disponible","https://images.unsplash.com/photo-1570129477492-45c003edd2be"
18,"Dúplex elegante en Salamanca","Salamanca",930000,160,4,3,"dúplex","reformado","garaje|ascensor|trastero","Dúplex elegante y reformado recientemente con acabados premium. Muy luminoso y perfecto para familias que desean vivir cerca de zonas comerciales exclusivas y transporte público.","reservado","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85"
